hour,CATCH_SIANG__rate_mm_hr,CATCH_SIANG__accum_6h_mm,CATCH_SIANG__accum_24h_mm,CATCH_SIANG__soil_moisture_pct,CATCH_SUBANSIRI__rate_mm_hr,CATCH_SUBANSIRI__accum_6h_mm,CATCH_SUBANSIRI__accum_24h_mm,CATCH_SUBANSIRI__soil_moisture_pct,CATCH_LOHIT_DIBANG__rate_mm_hr,CATCH_LOHIT_DIBANG__accum_6h_mm,CATCH_LOHIT_DIBANG__accum_24h_mm,CATCH_LOHIT_DIBANG__soil_moisture_pct,CATCH_JIABHARALI__rate_mm_hr,CATCH_JIABHARALI__accum_6h_mm,CATCH_JIABHARALI__accum_24h_mm,CATCH_JIABHARALI__soil_moisture_pct,CATCH_KOPILI_MEGHALAYA__rate_mm_hr,CATCH_KOPILI_MEGHALAYA__accum_6h_mm,CATCH_KOPILI_MEGHALAYA__accum_24h_mm,CATCH_KOPILI_MEGHALAYA__soil_moisture_pct,CATCH_MANAS_BEKI__rate_mm_hr,CATCH_MANAS_BEKI__accum_6h_mm,CATCH_MANAS_BEKI__accum_24h_mm,CATCH_MANAS_BEKI__soil_moisture_pct,CATCH_BARAK_HEADWATERS__rate_mm_hr,CATCH_BARAK_HEADWATERS__accum_6h_mm,CATCH_BARAK_HEADWATERS__accum_24h_mm,CATCH_BARAK_HEADWATERS__soil_moisture_pct,GAUGE_DIBRUGARH,GAUGE_NEMATIGHAT,GAUGE_TEZPUR,GAUGE_PANDU,GAUGE_GOALPARA,GAUGE_DHUBRI,GAUGE_SILCHAR
0,48.5,115.0,195.0,86.0,42.0,98.0,170.0,82.0,34.0,80.0,140.0,79.0,22.0,52.0,95.0,70.0,55.0,130.0,220.0,92.0,16.0,38.0,70.0,65.0,18.0,42.0,80.0,68.0,103.8,83.4,63.6,48.0,34.5,26.9,17.6
1,49.4,114.1,195.4,86.1,44.2,97.7,170.5,82.1,34.1,79.6,140.3,79.1,24.1,52.9,96.1,70.2,55.7,129.2,220.4,92.1,17.2,38.6,70.9,65.2,18.1,42.3,80.6,68.1,103.83,83.43,63.62,48.02,34.51,26.91,17.61
2,46.0,113.1,195.9,86.3,43.0,97.3,171.2,82.3,33.6,79.0,140.6,79.2,22.5,54.0,97.3,70.4,55.6,128.3,220.9,92.2,17.5,39.3,71.9,65.5,17.7,42.5,81.2,68.2,103.86,83.46,63.64,48.04,34.52,26.91,17.63
3,46.6,111.9,196.6,86.4,39.9,96.9,172.0,82.5,33.2,78.5,141.0,79.4,24.0,55.3,98.8,70.6,50.1,127.3,221.6,92.3,16.9,40.0,73.0,65.8,17.6,42.8,81.8,68.3,103.89,83.5,63.66,48.06,34.53,26.92,17.64
4,44.6,110.6,197.4,86.6,40.1,96.5,172.9,82.8,29.7,77.9,141.6,79.5,21.6,56.8,100.5,70.9,49.4,126.2,222.4,92.4,15.3,40.8,74.2,66.1,16.9,43.1,82.5,68.3,103.93,83.54,63.68,48.08,34.54,26.93,17.66
5,41.1,109.2,198.3,86.9,35.1,96.1,173.9,83.0,31.0,77.2,142.1,79.7,23.2,58.4,102.4,71.2,47.4,125.0,223.3,92.5,15.9,41.6,75.5,66.4,16.2,43.4,83.3,68.4,103.97,83.59,63.71,48.11,34.55,26.94,17.68
6,39.6,107.7,199.2,87.1,34.9,95.6,175.0,83.3,28.0,76.5,142.7,79.9,23.7,60.2,104.4,71.5,44.8,123.7,224.3,92.7,15.2,42.5,76.8,66.8,16.0,43.7,84.1,68.5,104.01,83.63,63.73,48.14,34.56,26.94,17.7
7,36.2,106.1,200.2,87.3,36.6,95.1,176.2,83.6,29.8,75.8,143.4,80.1,22.4,62.1,106.5,71.9,48.1,122.4,225.4,92.8,17.1,43.5,78.3,67.2,16.3,44.0,85.0,68.6,104.06,83.69,63.76,48.16,34.57,26.95,17.72
8,35.8,104.4,201.3,87.6,35.9,94.6,177.4,83.9,28.4,75.0,144.1,80.3,22.7,64.1,108.7,72.2,47.4,120.9,226.5,93.0,16.4,44.5,79.8,67.6,15.8,44.4,85.9,68.7,104.11,83.74,63.79,48.19,34.59,26.96,17.74
9,37.1,102.7,202.4,87.9,35.6,94.1,178.7,84.2,26.5,74.2,144.8,80.5,24.0,66.1,111.0,72.6,43.0,119.4,227.6,93.2,18.3,45.6,81.4,68.0,17.8,44.8,86.9,68.9,104.16,83.79,63.82,48.23,34.6,26.97,17.76
